[ 77892][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.668586 pos=0.735609 (0.170915%) vel=-2.681841 naive=-8880.000000 acc=-7.815783, speed=17.091473, timeOffset=-10.109159
[ 77961][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.701353 pos=0.644098 (0.170915%) vel=-2.886408 naive=-11160.000000 acc=-4.670078, speed=17.091473, timeOffset=-10.109159
[ 78030][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.734121 pos=0.547573 (0.170915%) vel=-2.987897 naive=-13520.000000 acc=-1.524373, speed=17.091473, timeOffset=-10.109159
[ 78099][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.766889 pos=0.449410 (0.170915%) vel=-2.986309 naive=-16520.000000 acc=1.621331, speed=17.091473, timeOffset=-10.109159
[ 78168][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.799657 pos=0.352989 (0.170903%) vel=-2.881643 naive=-19720.000000 acc=4.767036, speed=17.090313, timeOffset=-10.111106
[ 78237][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.832422 pos=0.261692 (0.170903%) vel=-2.673916 naive=-22260.000000 acc=7.912528, speed=17.090313, timeOffset=-10.111106
[ 78307][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.865663 pos=0.177769 (0.170903%) vel=-2.357864 naive=-22300.000000 acc=11.103606, speed=17.090313, timeOffset=-10.111106
[ 78376][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.898428 pos=0.107036 (0.169985%) vel=-1.942517 naive=-18560.000000 acc=14.249097, speed=16.998522, timeOffset=-10.238608
[ 78445][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.931018 pos=0.051851 (0.169985%) vel=-1.427165 naive=-13000.000000 acc=17.377694, speed=16.998522, timeOffset=-10.238608
[ 78514][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.963607 pos=0.015122 (0.169985%) vel=-0.809854 naive=-8060.000000 acc=20.506292, speed=16.998522, timeOffset=-10.238608
[ 78583][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.996197 pos=0.000173 (0.169985%) vel=-0.090584 naive=-3920.000000 acc=23.634889, speed=16.998522, timeOffset=-10.238608
[ 78652][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.028786 pos=0.009562 (0.169717%) vel=0.651096 naive=-880.000000 acc=21.236514, speed=16.971687, timeOffset=-10.276166
[ 78721][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.061324 pos=0.041438 (0.169717%) vel=1.291273 naive=2300.000000 acc=18.112856, speed=16.971687, timeOffset=-10.276166
[ 78790][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.093863 pos=0.092491 (0.169717%) vel=1.829812 naive=3780.000000 acc=14.989198, speed=16.971687, timeOffset=-10.276166
[ 78859][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.126401 pos=0.159413 (0.173632%) vel=2.266713 naive=6400.000000 acc=11.865539, speed=17.363214, timeOffset=-10.725971
[ 78928][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.159689 pos=0.240853 (0.173632%) vel=2.608512 naive=8520.000000 acc=8.669820, speed=17.363214, timeOffset=-10.725971
[ 78996][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.192496 pos=0.330529 (0.173632%) vel=2.841276 naive=10640.000000 acc=5.520416, speed=17.363214, timeOffset=-10.725971
[ 79065][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.225784 pos=0.427580 (0.178190%) vel=2.971853 naive=12980.000000 acc=2.324696, speed=17.818951, timeOffset=-11.082698
[ 79134][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.259947 pos=0.529825 (0.178190%) vel=2.995251 naive=16200.000000 acc=-0.954902, speed=17.818951, timeOffset=-11.082698
[ 79203][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.294109 pos=0.630955 (0.178190%) vel=2.906609 naive=20020.000000 acc=-4.234499, speed=17.818951, timeOffset=-11.082698
[ 79271][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.327777 pos=0.725802 (0.178190%) vel=2.709637 naive=23340.000000 acc=-7.466567, speed=17.818951, timeOffset=-11.082698
[ 79340][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.361939 pos=0.813375 (0.169579%) vel=2.398541 naive=24440.000000 acc=-10.746165, speed=16.957916, timeOffset=-11.304455
[ 79409][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.394451 pos=0.885127 (0.169579%) vel=1.998429 naive=21600.000000 acc=-13.867288, speed=16.957916, timeOffset=-11.304455
[ 79478][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.426963 pos=0.942220 (0.169579%) vel=1.496843 naive=15720.000000 acc=-16.988412, speed=16.957916, timeOffset=-11.304455
[ 79547][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.459474 pos=0.981357 (0.175656%) vel=0.893784 naive=10180.000000 acc=-20.109536, speed=17.565628, timeOffset=-11.438975
E (80465) esp-tls: [sock=54] delayed connect error: Connection reset by peer
E (80467) TRANSPORT_BASE: Failed to open a new connection: 32772
E (80468) MQTT_CLIENT: Error transport connect
[ 79589][D][mqtt.cpp:50] event_disconnected_handler(): [MQTT] Disconnected from MQTT broker
[ 79616][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.493151 pos=0.999442 (0.175656%) vel=0.162121 naive=5580.000000 acc=-23.342509, speed=17.565628, timeOffset=-11.438975
[ 79685][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.526828 pos=0.991672 (0.175656%) vel=-0.609323 naive=2400.000000 acc=-21.424517, speed=17.565628, timeOffset=-11.438975
[ 79755][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.560993 pos=0.958989 (0.175656%) vel=-1.285262 naive=-2000.000000 acc=-18.144689, speed=17.565628, timeOffset=-11.438975
[ 79824][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.594670 pos=0.906027 (0.196745%) vel=-1.841879 naive=-4500.000000 acc=-14.911715, speed=19.674469, timeOffset=-11.418644
[ 79893][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.632390 pos=0.826802 (0.196745%) vel=-2.336053 naive=-7440.000000 acc=-11.290607, speed=19.674469, timeOffset=-11.418644
[ 79963][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.670656 pos=0.730040 (0.196745%) vel=-2.697818 naive=-10360.000000 acc=-7.617019, speed=19.674469, timeOffset=-11.418644
[ 80032][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.708376 pos=0.623718 (0.197772%) vel=-2.916837 naive=-13260.000000 acc=-3.995911, speed=19.777243, timeOffset=-11.270958
[ 80101][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.746293 pos=0.511121 (0.197772%) vel=-2.999340 naive=-16400.000000 acc=-0.355887, speed=19.777243, timeOffset=-11.270958
[ 80170][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.784210 pos=0.398011 (0.197772%) vel=-2.943825 naive=-20140.000000 acc=3.284137, speed=19.777243, timeOffset=-11.270958
[ 80239][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.822127 pos=0.289624 (0.197772%) vel=-2.750292 naive=-23380.000000 acc=6.924161, speed=19.777243, timeOffset=-11.270958
[ 80308][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.860044 pos=0.191191 (0.242558%) vel=-2.418740 naive=-24500.000000 acc=10.564185, speed=24.255779, timeOffset=-11.796691
[ 80377][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.906547 pos=0.091743 (0.242558%) vel=-1.823669 naive=-23080.000000 acc=15.028488, speed=24.255779, timeOffset=-11.796691
[ 80446][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.953050 pos=0.024796 (0.242558%) vel=-1.020995 naive=-18520.000000 acc=19.492792, speed=24.255779, timeOffset=-11.796691
[ 80515][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.999553 pos=0.000002 (0.267192%) vel=-0.010717 naive=-12920.000000 acc=23.957095, speed=26.719248, timeOffset=-11.221510
[ 80584][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.050779 pos=0.028847 (0.267192%) vel=1.094932 naive=-7700.000000 acc=19.125197, speed=26.719248, timeOffset=-11.221510
[ 80653][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.102005 pos=0.107879 (0.267192%) vel=1.948684 naive=-1380.000000 acc=14.207489, speed=26.719248, timeOffset=-11.221510
[ 80722][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.153231 pos=0.224193 (0.267192%) vel=2.550521 naive=10160.000000 acc=9.289781, speed=26.691904, timeOffset=-11.221510
[ 80792][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.205200 pos=0.367039 (0.266919%) vel=2.903662 naive=19240.000000 acc=4.300802, speed=26.691904, timeOffset=-11.261824
[ 80861][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.256374 pos=0.519117 (0.266919%) vel=2.998050 naive=26080.000000 acc=-0.611873, speed=26.691904, timeOffset=-11.261824
[ 80930][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.307806 pos=0.670328 (0.266919%) vel=2.839606 naive=31720.000000 acc=-5.549387, speed=26.691904, timeOffset=-11.261824
[ 80999][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.358980 pos=0.806230 (0.302828%) vel=2.429923 naive=35820.000000 acc=-10.462062, speed=30.282795, timeOffset=-11.002217
[ 81068][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.417038 pos=0.926544 (0.302828%) vel=1.660719 naive=36580.000000 acc=-16.035645, speed=30.282795, timeOffset=-11.002217
[ 81136][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.474255 pos=0.992319 (0.302828%) vel=0.586072 naive=32140.000000 acc=-21.528451, speed=30.282795, timeOffset=-11.002217
[ 81205][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.532313 pos=0.988010 (0.317392%) vel=-0.725391 naive=25480.000000 acc=-20.897967, speed=31.739220, timeOffset=-10.860313
[ 81275][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.594045 pos=0.907175 (0.317392%) vel=-1.832548 naive=16260.000000 acc=-14.971666, speed=31.739220, timeOffset=-10.860313
[ 81344][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.654896 pos=0.771550 (0.317392%) vel=-2.565847 naive=1660.000000 acc=-9.130027, speed=31.739220, timeOffset=-10.860313
[ 81413][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.715746 pos=0.602119 (0.317392%) vel=-2.943680 naive=-18200.000000 acc=-3.288387, speed=31.739220, timeOffset=-10.860313
[ 81482][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.776596 pos=0.420512 (0.330828%) vel=-2.966046 naive=-36700.000000 acc=2.553252, speed=33.082836, timeOffset=-10.874839
[ 81551][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.840023 pos=0.241605 (0.330828%) vel=-2.611003 naive=-53900.000000 acc=8.642185, speed=33.082836, timeOffset=-10.874839
[ 81620][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.904254 pos=0.095964 (0.330828%) vel=-1.857878 naive=-67300.000000 acc=14.808356, speed=33.082836, timeOffset=-10.874839
[ 81689][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.967680 pos=0.011995 (0.357925%) vel=-0.725538 naive=-72540.000000 acc=20.897289, speed=35.792503, timeOffset=-10.854306
[ 81758][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.036301 pos=0.015048 (0.357925%) vel=0.807981 naive=-68480.000000 acc=20.515060, speed=35.792503, timeOffset=-10.854306
[ 81827][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.104923 pos=0.113624 (0.357925%) vel=1.989725 naive=-57500.000000 acc=13.927410, speed=35.792503, timeOffset=-10.854306
[ 81896][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.173544 pos=0.277783 (0.357925%) vel=2.719416 naive=-40460.000000 acc=7.339759, speed=35.792503, timeOffset=-10.854306
[ 81964][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.241171 pos=0.473524 (0.386459%) vel=2.996258 naive=-17260.000000 acc=0.847582, speed=38.645943, timeOffset=-10.597967
[ 82033][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.315263 pos=0.691341 (0.386459%) vel=2.795556 naive=9520.000000 acc=-6.265247, speed=38.645943, timeOffset=-10.597967
[ 82102][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.389355 pos=0.874765 (0.386459%) vel=2.067849 naive=33140.000000 acc=-13.378077, speed=38.645943, timeOffset=-10.597967
[ 82171][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.463447 pos=0.984748 (0.396969%) vel=0.813139 naive=48780.000000 acc=-20.490907, speed=39.696884, timeOffset=-11.024454
[ 82240][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.539554 pos=0.982216 (0.396969%) vel=-0.874195 naive=51220.000000 acc=-20.202837, speed=39.696884, timeOffset=-11.024454
[ 82309][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.615661 pos=0.864227 (0.396969%) vel=-2.133741 naive=39120.000000 acc=-12.896581, speed=39.696884, timeOffset=-11.024454
[ 82378][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.691767 pos=0.671538 (0.396969%) vel=-2.837231 naive=19680.000000 acc=-5.590324, speed=39.696884, timeOffset=-11.024454
[ 82447][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.767874 pos=0.446468 (0.413356%) vel=-2.984664 naive=-4620.000000 acc=1.715932, speed=41.335648, timeOffset=-11.557693
[ 82516][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.847123 pos=0.223289 (0.413356%) vel=-2.547222 naive=-27360.000000 acc=9.323805, speed=41.335648, timeOffset=-11.557693
[ 82584][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.925223 pos=0.060409 (0.413356%) vel=-1.526249 naive=-44420.000000 acc=16.821418, speed=41.335648, timeOffset=-11.557693
[ 82653][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.004472 pos=0.000239 (0.444883%) vel=0.106363 naive=-50380.000000 acc=23.570709, speed=44.488258, timeOffset=-11.795566
[ 82723][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.091001 pos=0.087316 (0.444883%) vel=1.786524 naive=-42660.000000 acc=15.263927, speed=44.488258, timeOffset=-11.795566
[ 82792][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.176294 pos=0.285288 (0.444883%) vel=2.739234 naive=-26800.000000 acc=7.075813, speed=44.488258, timeOffset=-11.795566
[ 82861][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.261586 pos=0.534735 (0.465335%) vel=2.993556 naive=-2920.000000 acc=-1.112301, speed=46.533512, timeOffset=-11.693978
[ 82931][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.352093 pos=0.789254 (0.465335%) vel=2.499693 naive=23180.000000 acc=-9.800971, speed=46.533512, timeOffset=-11.693978
[ 83000][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.441307 pos=0.961897 (0.465335%) vel=1.243270 naive=42280.000000 acc=-18.365516, speed=46.533512, timeOffset=-11.693978
[ 83069][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.530521 pos=0.989276 (0.465335%) vel=-0.687801 naive=46980.000000 acc=-21.069938, speed=46.533512, timeOffset=-11.693978
[ 83139][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.621028 pos=0.852590 (0.472395%) vel=-2.201584 naive=34260.000000 acc=-12.381269, speed=47.239464, timeOffset=-12.618403
[ 83208][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.711596 pos=0.614306 (0.472395%) vel=-2.929206 naive=12680.000000 acc=-3.686792, speed=47.239464, timeOffset=-12.618403
[ 83277][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.802163 pos=0.345781 (0.472395%) vel=-2.869391 naive=-13640.000000 acc=5.007685, speed=47.239464, timeOffset=-12.618403
[ 83346][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.892731 pos=0.118331 (0.495211%) vel=-2.022139 naive=-35860.000000 acc=13.702162, speed=49.521107, timeOffset=-12.127692
[ 83415][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.987673 pos=0.001794 (0.495211%) vel=-0.288562 naive=-47560.000000 acc=22.816577, speed=49.521107, timeOffset=-12.127692
[ 83484][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.082615 pos=0.072880 (0.495211%) vel=1.655141 naive=-41560.000000 acc=16.069007, speed=49.521107, timeOffset=-12.127692
[ 83553][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.178603 pos=0.291633 (0.495211%) vel=2.755320 naive=-23000.000000 acc=6.854094, speed=49.521107, timeOffset=-12.127692
[ 83622][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.273545 pos=0.570426 (0.522792%) vel=2.973390 naive=4360.000000 acc=-2.260321, speed=52.279247, timeOffset=-11.887152
[ 83691][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.373775 pos=0.840984 (0.522792%) vel=2.264631 naive=31660.000000 acc=-11.882375, speed=52.279247, timeOffset=-11.887152
[ 83760][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.474004 pos=0.992172 (0.522792%) vel=0.591456 naive=48680.000000 acc=-21.504430, speed=52.279247, timeOffset=-11.887152
[ 83829][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.574234 pos=0.940417 (0.544469%) vel=-1.517106 naive=46240.000000 acc=-16.873516, speed=54.446930, timeOffset=-12.540952
[ 83898][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.678620 pos=0.708321 (0.544469%) vel=-2.755434 naive=25140.000000 acc=-6.852497, speed=54.446930, timeOffset=-12.540952
[ 83967][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.783005 pos=0.401559 (0.544469%) vel=-2.947711 naive=-5120.000000 acc=3.168521, speed=54.446930, timeOffset=-12.540952
[ 84036][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.887391 pos=0.129322 (0.544469%) vel=-2.093938 naive=-32740.000000 acc=13.189540, speed=54.446930, timeOffset=-12.540952
[ 84105][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.991777 pos=0.000803 (0.568084%) vel=-0.194114 naive=-48060.000000 acc=23.210559, speed=56.808449, timeOffset=-12.878128
[ 84175][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.102268 pos=0.108392 (0.568084%) vel=1.952415 naive=-41320.000000 acc=14.182251, speed=56.808449, timeOffset=-12.878128
[ 84244][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.211181 pos=0.384480 (0.568084%) vel=2.927669 naive=-19320.000000 acc=3.726592, speed=56.808449, timeOffset=-12.878128
[ 84313][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.320094 pos=0.704773 (0.580593%) vel=2.764165 naive=9520.000000 acc=-6.729067, speed=58.059334, timeOffset=-12.931311
[ 84382][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.431406 pos=0.948702 (0.580593%) vel=1.420414 naive=32040.000000 acc=-17.414953, speed=58.059334, timeOffset=-12.931311
[ 84451][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.542717 pos=0.979350 (0.580593%) vel=-0.937622 naive=35800.000000 acc=-19.899161, speed=58.059334, timeOffset=-12.931311
[ 84520][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.654028 pos=0.773772 (0.607862%) vel=-2.557894 naive=17060.000000 acc=-9.213275, speed=60.786186, timeOffset=-12.671045
[ 84589][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.770695 pos=0.438057 (0.607862%) vel=-2.979443 naive=-12580.000000 acc=1.986699, speed=60.786186, timeOffset=-12.671045
[ 84658][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.887234 pos=0.129651 (0.607862%) vel=-2.096008 naive=-42140.000000 acc=13.174465, speed=60.786186, timeOffset=-12.671045
[ 84727][I][stroke_engine.cpp:202] startStrokeEngineTask(): [SplineCtrl] t=0.003773 pos=0.000170 (0.607862%) vel=0.089874 naive=-57280.000000 acc=23.637768, speed=60.786186, timeOffset=-12.671045
