frame,time_s,position_mm,raw_x,raw_y
0,0.0,-14.92750535142672,538,1038
1,0.03340464983597204,-16.906570962864045,539,1043
2,0.06680929967194409,-19.30092692602266,539,1049
3,0.10021394950791614,-22.477170519039298,540,1057
4,0.13361859934388817,-25.68587616111231,539,1065
5,0.16702324917986022,-28.495522475992225,538,1072
6,0.20042789901583227,-31.68799709353705,538,1080
7,0.23383254885180432,-34.880471711081874,538,1088
8,0.26723719868777635,-38.0729463286267,538,1096
9,0.3006418485237484,-41.28165197069971,537,1104
10,0.33404649835972045,-44.490357612772726,536,1112
11,0.36745114819569247,-47.69906325484574,535,1120
12,0.40085579803166455,-50.875306847862376,536,1128
13,0.43426044786763657,-54.0677814654072,536,1136
14,0.46766509770360865,-57.65931541014513,536,1145
15,0.5010697475395807,-60.468961725025046,535,1152
16,0.5344743973755527,-64.06049566976297,535,1161
17,0.5678790472115247,-67.25297028730779,535,1169
18,0.6012836970474968,-70.42921388032443,536,1177
19,0.6346883468834689,-73.63791952239744,535,1185
20,0.6680929967194409,-76.84662516447045,534,1193
21,0.7014976465554129,-80.03909978201527,534,1201
22,0.7349022963913849,-83.2478054240883,533,1209
23,0.7683069462273571,-86.44028004163312,533,1217
24,0.8017115960633291,-89.63275465917795,533,1225
25,0.8351162458993011,-91.64428231967165,532,1230
26,0.8685208957352731,-92.05957267139294,531,1231
27,0.9019255455712452,-92.05957267139294,531,1231
28,0.9353301954072173,-91.24522299247855,532,1229
29,0.9687348452431893,-90.03181398637105,533,1226
30,1.0021394950791613,-88.03651735040553,533,1221
31,1.0355441449151335,-85.6583924117751,532,1215
32,1.0689487947511054,-82.46591779423028,532,1207
33,1.1023534445870775,-79.27344317668545,532,1199
34,1.1357580944230494,-76.04850651008425,534,1191
35,1.1691627442590216,-72.45697256534632,534,1182
36,1.2025673940949937,-69.26449794780149,534,1174
37,1.2359720439309656,-66.07202333025667,534,1166
38,1.2693766937669377,-62.863317688183656,535,1158
39,1.3027813436029096,-59.65461204611064,536,1150
40,1.3361859934388818,-56.06307810137272,536,1141
41,1.369590643274854,-52.870603483827885,536,1133
42,1.4029952931108258,-49.69435989081125,535,1125
43,1.436399942946798,-46.485654248738236,536,1117
44,1.4698045927827699,-42.89412030400031,536,1108
45,1.503209242618742,-39.6854146619273,537,1100
46,1.5366138924547141,-36.49294004438247,537,1092
47,1.570018542290686,-32.90140609964455,537,1083
48,1.6034231921266582,-29.70893148209972,537,1075
49,1.63682784196263,-26.500225840026708,538,1067
50,1.6702324917986022,-23.29152019795369,539,1059
51,1.7036371416345744,-19.699986253215766,539,1050
52,1.7370417914705463,-16.50751163567094,539,1042
53,1.7704464413065184,-13.756073132892126,561,1036
54,1.8038510911424903,-13.71409634531922,539,1035
55,1.8372557409784624,-13.71409634531922,539,1035
56,1.8706603908144346,-13.730327369847412,538,1035
57,1.9040650406504065,-14.528446024233618,538,1037
58,1.9374696904863786,-16.10845230847784,539,1041
59,1.9708743403223505,-18.502808271636454,539,1047
60,2.0042789901583227,-20.880933210266885,540,1053
61,2.037683639994295,-24.07340782781171,540,1061
62,2.071088289830267,-27.282113469884724,539,1069
63,2.1044929396662386,-30.091759784764637,538,1076
64,2.1378975895022108,-33.28423440230946,538,1084
65,2.171302239338183,-36.47670901985428,538,1092
66,2.204706889174155,-39.6854146619273,537,1100
67,2.238111539010127,-42.89412030400031,536,1108
68,2.271516188846099,-46.10282594607333,535,1116
69,2.304920838682071,-49.27906953908997,536,1124
70,2.338325488518043,-52.870603483827885,536,1133
71,2.3717301383540152,-56.06307810137272,536,1141
72,2.4051347881899874,-59.27178374344573,535,1149
73,2.438539438025959,-62.464258360990556,535,1157
74,2.471944087861931,-65.65673297853537,535,1165
75,2.5053487376979033,-68.8492075960802,535,1173
76,2.5387533875338755,-72.04168221362502,535,1181
77,2.5721580373698476,-75.25038785569804,534,1189
78,2.6055626872058193,-78.45909349777106,533,1197
79,2.6389673370417914,-81.65156811531588,533,1205
80,2.6723719868777636,-84.84404273286071,533,1213
81,2.7057766367137357,-88.43557667759865,533,1222
82,2.739181286549708,-90.84616366528543,532,1228
83,2.7725859363856795,-92.05957267139294,531,1231
84,2.8059905862216517,-91.66051334419984,531,1230
85,2.839395236057624,-91.64428231967165,532,1230
86,2.872799885893596,-90.44710433809233,532,1227
87,2.906204535729568,-88.83463600479173,533,1223
88,2.9396091855655397,-86.44028004163312,533,1217
89,2.973013835401512,-83.66309577580958,532,1210
90,3.006418485237484,-80.47062115826476,532,1202
91,3.039823135073456,-77.26191551619175,533,1194
92,3.0732277849094283,-74.05320987411874,534,1186
93,3.1066324347454,-70.4616759293808,534,1177
94,3.140037084581372,-67.26920131183597,534,1169
95,3.1734417344173442,-64.07672669429115,534,1161
96,3.2068463842533164,-60.86802105221815,535,1153
97,3.2402510340892885,-57.65931541014513,536,1145
98,3.27365568392526,-54.0677814654072,536,1136
99,3.3070603337612323,-50.875306847862376,536,1128
100,3.3404649835972045,-47.68283223031755,536,1120
101,3.3738696334331766,-44.490357612772726,536,1112
102,3.4072742832691487,-40.882592643506605,537,1103
103,3.4406789331051204,-37.69011802596179,537,1095
104,3.4740835829410925,-34.49764340841696,537,1087
105,3.5074882327770647,-30.906109463679034,537,1078
106,3.540892882613037,-27.69740382160602,538,1070
107,3.574297532449009,-24.488698179533003,539,1062
