frame,time_s,position_mm,raw_x,raw_y
0,0.0,-14.98424731907204,539,1046
1,0.03340498625834315,-13.38044606836862,539,1042
2,0.0668099725166863,-12.979495755692762,539,1041
3,0.10021495877502945,-12.979495755692762,539,1041
4,0.1336199450333726,-13.38044606836862,539,1042
5,0.16702493129171575,-14.182346693720332,539,1044
6,0.2004299175500589,-15.772594694417807,540,1048
7,0.23383490380840205,-18.17829657047294,540,1054
8,0.2672398900667452,-20.58399844652807,540,1060
9,0.30064487632508835,-23.791600947934917,540,1068
10,0.3340498625834315,-27.0127566993477,539,1076
11,0.36745484884177465,-29.832962138084635,538,1083
12,0.4008598351001178,-33.040564639491485,538,1091
13,0.43426482135846095,-36.248167140898325,538,1099
14,0.4676698076168041,-39.45576964230517,538,1107
15,0.5010747938751472,-43.077875706393804,537,1116
16,0.5344797801334904,-45.8845278951248,537,1123
17,0.5678847663918335,-48.96450395897566,576,1132
18,0.6012897526501767,-52.6871299606084,538,1140
19,0.6346947389085198,-55.908285712021176,537,1148
20,0.668099725166863,-59.12944146343396,536,1156
21,0.7015047114252061,-62.33704396484081,536,1164
22,0.7349096976835493,-65.54464646624766,536,1172
23,0.7683146839418924,-68.7522489676545,536,1180
24,0.8017196702002356,-71.97340471906729,535,1188
25,0.8351246564585787,-75.19456047048008,534,1196
26,0.8685296427169219,-78.40216297188692,534,1204
27,0.901934628975265,-81.60976547329376,534,1212
28,0.9353396152336082,-84.01546734934891,534,1218
29,0.9687446014919513,-84.83092122470656,533,1220
30,1.0021495877502944,-84.83092122470656,533,1220
31,1.0355545740086376,-84.83092122470656,533,1220
32,1.0689595602669808,-84.01546734934891,534,1218
33,1.102364546525324,-82.41166609864547,534,1214
34,1.135769532783667,-80.01951747259629,533,1208
35,1.1691745190420102,-77.2128652838653,533,1201
36,1.2025795053003534,-74.39265984512838,534,1194
37,1.2359844915586964,-71.17150409371558,535,1186
38,1.2693894778170396,-67.56295127963288,535,1177
39,1.3027944640753828,-64.35534877822604,535,1169
40,1.336199450333726,-61.147746276819205,535,1161
41,1.369604436592069,-57.926590525406404,536,1153
42,1.4030094228504122,-54.705434773993616,537,1145
43,1.4364144091087554,-51.09688195991092,537,1136
44,1.4698193953670986,-47.88927945850407,537,1128
45,1.5032243816254416,-44.36995220696051,560,1120
46,1.5366293678837848,-41.07312414301453,537,1111
47,1.570034354142128,-37.851968391601744,538,1103
48,1.6034393404004712,-34.6443658901949,538,1095
49,1.6368443266588142,-31.43676338878806,538,1087
50,1.6702493129171574,-27.82821057470536,538,1078
51,1.7036542991755006,-24.308883323161794,561,1070
52,1.7370592854338438,-21.39945232188573,539,1062
53,1.7704642716921868,-18.17829657047294,540,1054
54,1.80386925795053,-14.970694069066095,540,1046
55,1.8372742442088732,-13.76784313103853,540,1043
56,1.8706792304672164,-13.76784313103853,540,1043
57,1.9040842167255594,-13.781396381044473,539,1043
58,1.9374892029839026,-13.781396381044473,539,1043
59,1.9708941892422458,-14.98424731907204,539,1046
60,2.004299175500589,-16.975445632445375,540,1051
61,2.037704161758932,-19.36759425849456,541,1057
62,2.071109148017275,-22.17424644722555,541,1064
63,2.104514134275618,-24.994451885962484,540,1071
64,2.1379191205339616,-27.917436137244497,561,1079
65,2.1713241067923046,-31.42321013878211,539,1087
66,2.204729093050648,-34.63081264018895,539,1095
67,2.238134079308991,-37.851968391601744,538,1103
68,2.271539065567334,-41.05957089300859,538,1111
69,2.3049440518256774,-44.28072664442138,537,1119
70,2.3383490380840204,-47.48832914582822,537,1127
71,2.3717540243423634,-50.695931647235064,537,1135
72,2.405159010600707,-54.30448446131776,537,1144
73,2.43856399685905,-57.51208696272461,537,1152
74,2.4719689831173928,-60.7332427141374,536,1160
75,2.505373969375736,-63.94084521554423,536,1168
76,2.538778955634079,-67.14844771695108,536,1176
77,2.5721839418924226,-70.35605021835792,536,1184
78,2.6055889281507656,-73.57720596977072,535,1192
79,2.6389939144091086,-76.7983617211835,534,1200
80,2.672398900667452,-80.00596422259035,534,1208
81,2.705803886925795,-82.42521934865141,533,1214
82,2.739208873184138,-82.82616966132728,533,1215
83,2.7726138594424814,-82.82616966132728,533,1215
84,2.8060188457008244,-82.42521934865141,533,1214
85,2.839423831959168,-81.6233187232997,533,1212
86,2.872828818217511,-80.4069145352662,534,1209
87,2.9062338044758538,-78.41571622189288,533,1204
88,2.939638790734197,-75.60906403316189,533,1197
89,2.97304377699254,-72.38790828174909,534,1189
90,3.006448763250883,-69.1667525303363,535,1181
91,3.0398537495092266,-65.55819971625361,535,1172
92,3.0732587357675696,-62.350597214846765,535,1164
93,3.106663722025913,-59.14299471343992,535,1156
94,3.140068708284256,-55.93539221203307,535,1148
95,3.173473694542599,-52.31328614794443,536,1139
96,3.2068786808009424,-49.092130396531644,537,1131
97,3.2402836670592854,-45.8845278951248,537,1123
98,3.2736886533176284,-42.67692539371795,537,1115
99,3.307093639575972,-39.46932289231111,537,1107
100,3.340498625834315,-35.84721682822247,538,1098
101,3.373903612092658,-32.639614326815625,538,1090
102,3.407308598351001,-29.418458575402834,539,1082
103,3.440713584609344,-25.82345901132608,538,1073
104,3.4741185708676876,-22.61585650991924,538,1065
105,3.5075235571260306,-19.39470075850645,539,1057
106,3.5409285433843736,-16.187098257099606,539,1049
107,3.574333529642717,-13.781396381044473,539,1043
108,3.60773851590106,-13.38044606836862,539,1042
109,3.641143502159403,-12.979495755692762,539,1041
110,3.6745484884177464,-13.38044606836862,539,1042
111,3.7079534746760894,-13.781396381044473,539,1043
112,3.741358460934433,-15.385197631747896,539,1047
113,3.774763447192776,-17.376395945121228,540,1052
114,3.8081684334511188,-19.782097821176365,540,1058
115,3.841573419709462,-23.00325357258915,539,1066
116,3.874978405967805,-25.809905761320138,539,1073
117,3.908383392226148,-29.031061512732926,538,1081
118,3.9417883784844916,-32.238664014139765,538,1089
119,3.9751933647428346,-35.44626651554661,538,1097
120,4.008598351001178,-38.65386901695346,538,1105
121,4.042003337259521,-41.875024768366245,537,1113
122,4.075408323517864,-45.09618051977903,536,1121
123,4.108813309776207,-48.29022977117993,537,1129
124,4.14221829603455,-51.89878258526263,537,1138
125,4.175623282292894,-55.11993833667541,536,1146
126,4.209028268551236,-58.32754083808226,536,1154
127,4.24243325480958,-61.54869658949506,535,1162
128,4.275838241067923,-64.75629909090189,535,1170
129,4.309243227326266,-67.96390159230874,535,1178
130,4.342648213584609,-71.17150409371558,535,1186
131,4.376053199842953,-74.39265984512838,534,1194
132,4.409458186101296,-77.6002623465352,534,1202
133,4.442863172359639,-80.821418097948,533,1210
134,4.476268158617982,-83.62807028667899,533,1217
135,4.509673144876325,-85.2318715373824,533,1221
136,4.543078131134668,-85.24542478738834,532,1221
137,4.576483117393011,-84.8444744747125,532,1220
138,4.609888103651355,-84.4299709120307,533,1219
139,4.643293089909697,-82.82616966132728,533,1215
140,4.676698076168041,-81.22236841062386,533,1211
141,4.710103062426384,-78.41571622189288,533,1204
142,4.743508048684727,-75.60906403316189,533,1197
143,4.77691303494307,-72.38790828174909,534,1189
144,4.810318021201414,-69.1667525303363,535,1181
145,4.843723007459756,-65.55819971625361,535,1172
146,4.8771279937181,-62.350597214846765,535,1164
147,4.910532979976443,-59.14299471343992,535,1156
148,4.9439379662347855,-55.92183896202712,536,1148
149,4.977342952493129,-52.29973289793849,537,1139
150,5.010747938751472,-49.092130396531644,537,1131
151,5.044152925009816,-45.8845278951248,537,1123
152,5.077557911268158,-42.67692539371795,537,1115
153,5.110962897526502,-39.05481932962931,538,1106
154,5.144367883784845,-35.84721682822247,538,1098
155,5.177772870043188,-32.626061076809684,539,1090
156,5.211177856301531,-29.031061512732926,538,1081
157,5.244582842559875,-25.82345901132608,538,1073
158,5.277987828818217,-22.602303259913295,539,1065
159,5.311392815076561,-19.39470075850645,539,1057
160,5.344797801334904,-16.187098257099606,539,1049
161,5.3782027875932465,-14.182346693720332,539,1044
162,5.41160777385159,-13.781396381044473,539,1043
163,5.445012760109933,-13.781396381044473,539,1043
164,5.478417746368276,-13.781396381044473,539,1043
165,5.511822732626619,-14.98424731907204,539,1046
166,5.545227718884963,-16.588048569775463,539,1050
167,5.578632705143306,-18.579246883148798,540,1055
168,5.612037691401649,-21.385899071879784,540,1062
169,5.645442677659992,-24.192551260610774,540,1069
170,5.678847663918336,-27.413707012023554,539,1077
171,5.712252650176678,-30.63486276343635,538,1085
172,5.745657636435022,-33.84246526484319,538,1093
173,5.779062622693365,-37.05006776625004,538,1101
174,5.8124676089517076,-40.25767026765688,538,1109
175,5.845872595210051,-43.478826019069665,537,1117
176,5.879277581468394,-46.68642852047651,537,1125
177,5.912682567726737,-49.89403102188335,537,1133
178,5.94608755398508,-53.1016335232902,537,1141
179,5.979492540243424,-56.710186337372896,537,1150
180,6.012897526501766,-59.93134208878568,536,1158
181,6.04630251276011,-63.13894459019252,536,1166
182,6.079707499018453,-66.36010034160532,535,1174
183,6.113112485276796,-69.56770284301217,535,1182
184,6.146517471535139,-72.77530534441901,535,1190
185,6.179922457793483,-75.99646109583179,534,1198
186,6.213327444051826,-79.20406359723864,534,1206
187,6.246732430310169,-81.6233187232997,533,1212
188,6.280137416568512,-82.82616966132728,533,1215
189,6.313542402826855,-82.82616966132728,533,1215
190,6.346947389085198,-82.82616966132728,533,1215
191,6.380352375343541,-82.02426903597556,533,1213
192,6.413757361601885,-80.80786484794206,534,1210
193,6.447162347860227,-78.81666653456872,533,1205
194,6.480567334118571,-76.01001434583773,533,1198
195,6.513972320376914,-72.80241184443089,533,1190
196,6.547377306635257,-69.58125609301811,534,1182
197,6.5807822928936,-66.36010034160532,535,1174
198,6.614187279151944,-63.15249784019848,535,1166
199,6.647592265410286,-59.944895338791625,535,1158
200,6.68099725166863,-56.73729283738479,535,1150
201,6.714402237926973,-53.11518677329614,536,1141
202,6.747807224185316,-49.89403102188335,537,1133
203,6.781212210443659,-46.68642852047651,537,1125
204,6.814617196702002,-43.478826019069665,537,1117
205,6.848022182960346,-39.870273204986965,537,1108
206,6.881427169218688,-36.64911745357418,538,1100
207,6.914832155477032,-33.44151495216734,538,1092
208,6.948237141735375,-30.220359200754544,539,1084
209,6.981642127993718,-26.611806386671848,539,1075
210,7.015047114252061,-23.404203885265005,539,1067
211,7.048452100510405,-20.196601383858162,539,1059
212,7.081857086768747,-16.588048569775463,539,1050
213,7.115262073027091,-14.182346693720332,539,1044
214,7.148667059285434,-12.979495755692762,539,1041
