millis_ms,t,position,handleY,velocity,acceleration,jerk
0,0.000000000,0.000000000,0.500000000,0.000000000,24.000000000,96.000000000
10,0.008750000,0.000908025,0.500000000,0.206324298,23.160002912,-96.000000000
20,0.017499999,0.003589237,0.500000000,0.405299311,22.320002962,-96.000000000
30,0.026249999,0.007979325,0.500000000,0.596924326,21.480003013,-96.000000000
40,0.034999999,0.014013975,0.500000000,0.781199341,20.640003064,-96.000000000
50,0.043749999,0.021628875,0.500000000,0.958124358,19.800003114,-96.000000000
60,0.052499998,0.030759713,0.500000000,1.127699375,18.960003165,-96.000000000
70,0.061249998,0.041342176,0.500000000,1.289924393,18.120003216,-96.000000000
80,0.069999998,0.053311951,0.500000000,1.444799412,17.280003266,-96.000000000
90,0.078749998,0.066604726,0.500000000,1.592324432,16.440003317,-96.000000000
100,0.087499997,0.081156189,0.500000000,1.732499453,15.600003368,-96.000000000
110,0.096249997,0.096902027,0.500000000,1.865324474,14.760003418,-96.000000000
120,0.104999997,0.113777928,0.500000000,1.990799497,13.920003469,-96.000000000
130,0.113749997,0.131719579,0.500000000,2.108924520,13.080003520,-96.000000000
140,0.122499996,0.150662667,0.500000000,2.219699545,12.240003570,-96.000000000
150,0.131249996,0.170542881,0.500000000,2.323124570,11.400003621,-96.000000000
160,0.139999996,0.191295907,0.500000000,2.419199596,10.560003672,-96.000000000
170,0.148749995,0.212857434,0.500000000,2.507924623,9.720003722,-96.000000000
180,0.157499995,0.235163148,0.500000000,2.589299651,8.880003773,-96.000000000
190,0.166249995,0.258148738,0.500000000,2.663324680,8.040003824,-96.000000000
200,0.174999995,0.281749890,0.500000000,2.729999709,7.200003874,-96.000000000
210,0.183749994,0.305902292,0.500000000,2.789324740,6.360003925,-96.000000000
220,0.192499994,0.330541632,0.500000000,2.841299771,5.520003976,-96.000000000
230,0.201249994,0.355603598,0.500000000,2.885924804,4.680004026,-96.000000000
240,0.209999994,0.381023876,0.500000000,2.923199837,3.840004077,-96.000000000
250,0.218749993,0.406738154,0.500000000,2.953124871,3.000004128,-96.000000000
260,0.227499993,0.432682120,0.500000000,2.975699906,2.160004178,-96.000000000
