millis_ms,t,position,handleY,velocity,acceleration,speed
0,0.000000000,-0.000000000,0.500000015,0.026646928,214.880822612,0.100
10,0.000875000,0.000016900,0.500000015,0.089208857,214.129884526,0.100
20,0.001750000,0.000052017,0.500000015,0.151553889,213.378920863,0.100
30,0.002625000,0.000105286,0.500000015,0.213679890,212.627957201,0.100
40,0.003500000,0.000176642,0.500000015,0.275586860,211.876993538,0.100
50,0.004375000,0.000266023,0.500000015,0.337274799,211.126029875,0.100
60,0.005250000,0.000373365,0.500000015,0.398743707,210.375066212,0.100
70,0.006125000,0.000498602,0.500000015,0.459993584,209.624102549,0.100
80,0.007000000,0.000641673,0.500000015,0.521024430,208.873138886,0.100
90,0.007875000,0.000802512,0.500000015,0.581836245,208.122175223,0.100
100,0.008750000,0.000981056,0.500000015,0.642429029,207.371211560,0.100
110,0.009625000,0.001177241,0.500000015,0.702802781,206.620247897,0.100
120,0.010500000,0.001391003,0.500000015,0.762957503,205.869284235,0.100
130,0.011375000,0.001622278,0.500000015,0.822893193,205.118320572,0.100
140,0.012250000,0.001871003,0.500000015,0.882609853,204.367356909,0.100
150,0.013125000,0.002137113,0.500000015,0.942107481,203.616393246,0.100
160,0.014000000,0.002420544,0.500000015,1.001386079,202.865429583,0.100
170,0.014875000,0.002721233,0.500000015,1.060445645,202.114465920,0.100
180,0.015750000,0.003039116,0.500000015,1.119286180,201.363502257,0.100
190,0.016624999,0.003374129,0.500000015,1.177907684,200.612538594,0.100
200,0.017499999,0.003726208,0.500000015,1.236310157,199.861574931,0.100
210,0.018374999,0.004095288,0.500000015,1.294493599,199.110611269,0.100
220,0.019249999,0.004481308,0.500000015,1.352458010,198.359647606,0.100
230,0.020124999,0.004884201,0.500000015,1.410203390,197.608683943,0.100
240,0.020999999,0.005303905,0.500000015,1.467729739,196.857720280,0.100
250,0.021874999,0.005740355,0.500000015,1.525037057,196.106756617,0.100
260,0.022749999,0.006193489,0.500000015,1.582125344,195.355792954,0.100
270,0.023624999,0.006663240,0.500000015,1.638994599,194.604829291,0.100
280,0.024499999,0.007149547,0.500000015,1.695644824,193.853865628,0.100
290,0.025374999,0.007652345,0.500000015,1.752076018,193.102901965,0.100
300,0.026249999,0.008171570,0.500000015,1.808288180,192.351938303,0.100
310,0.027124999,0.008707159,0.500000015,1.864281312,191.600974640,0.100
320,0.027999999,0.009259046,0.500000015,1.920055412,190.850010977,0.100
330,0.028874999,0.009827170,0.500000015,1.975610481,190.099047314,0.100
340,0.029749999,0.010411465,0.500000015,2.030946519,189.348083651,0.100
350,0.030624999,0.011011867,0.500000015,2.086063527,188.597119988,0.100
360,0.031499999,0.011628314,0.500000015,2.140961503,187.846156325,0.100
370,0.032374999,0.012260740,0.500000015,2.195640448,187.095192662,0.100
380,0.033249999,0.012909083,0.500000015,2.250100362,186.344228999,0.100
390,0.034124999,0.013573277,0.500000015,2.304341245,185.593265337,0.100
400,0.034999999,0.014253260,0.500000015,2.358363097,184.842301674,0.100
410,0.035874999,0.014948968,0.500000015,2.412165917,184.091338011,0.100
420,0.036749999,0.015660336,0.500000015,2.465749707,183.340374348,0.100
430,0.037624999,0.016387300,0.500000015,2.519114466,182.589410685,0.100
440,0.038499999,0.017129798,0.500000015,2.572260193,181.838447022,0.100
450,0.039374999,0.017887764,0.500000015,2.625186890,181.087483359,0.100
460,0.040249999,0.018661136,0.500000015,2.677894556,180.336519696,0.100
470,0.041124999,0.019449848,0.500000015,2.730383190,179.585556033,0.100
480,0.041999999,0.020253838,0.500000015,2.782652793,178.834592370,0.100
490,0.042874999,0.021073041,0.500000015,2.834703366,178.083628708,0.100
500,0.043749999,0.021907393,0.500000015,2.886534907,177.332665045,0.100
510,0.044624999,0.022756831,0.500000015,2.938147417,176.581701382,0.100
520,0.045499999,0.023621291,0.500000015,2.989540896,175.830737719,0.100
530,0.046374999,0.024500709,0.500000015,3.040715344,175.079774056,0.100
540,0.047249999,0.025395021,0.500000015,3.091670761,174.328810393,0.100
550,0.048124999,0.026304162,0.500000015,3.142407147,173.577846730,0.100
560,0.048999999,0.027228070,0.500000015,3.192924502,172.826883067,0.100
570,0.049874998,0.028166680,0.500000015,3.243222826,172.075919404,0.100
580,0.050749998,0.029119929,0.500000015,3.293302119,171.324955742,0.100
590,0.051624998,0.030087752,0.500000015,3.343162380,170.573992079,0.100
600,0.052499998,0.031070085,0.500000015,3.392803611,169.823028416,0.100
610,0.053374998,0.032066866,0.500000015,3.442225811,169.072064753,0.100
620,0.054249998,0.033078029,0.500000015,3.491428979,168.321101090,0.100
630,0.055124998,0.034103511,0.500000015,3.540413117,167.570137427,0.100
