frame,time_s,position_mm,raw_x,raw_y,points_tracked
0,0.0041,175.85,1242,599,1
1,0.0696,175.85,1242,599,1
2,0.1377,175.74,1241,598,1
3,0.2041,175.27,1239,601,1
4,0.2715,176.12,1244,600,1
5,0.3696,177.4,1251,597,1
6,0.4378,177.18,1249,595,1
7,0.5032,177.34,1250,595,1
8,0.5709,177.81,1252,592,1
9,0.6713,178.68,1258,594,1
10,0.7416,179.44,1263,595,1
11,0.8372,182.52,1280,588,1
12,0.9071,184.03,1289,587,1
13,1.0047,187.34,1308,582,1
14,1.1059,188.63,1316,582,1
15,1.2048,188.47,1315,582,1
16,1.3031,189.81,1323,581,1
17,1.3697,190.89,1330,582,1
18,1.4708,193.78,1347,579,1
19,1.5724,196.87,1364,572,1
20,1.6745,197.52,1368,572,1
21,1.7702,197.95,1371,573,1
22,1.8384,197.4,1367,571,1
23,1.9377,195.95,1358,571,1
24,2.038,192.38,1338,578,1
25,2.1052,190.67,1328,580,1
26,2.1694,186.84,1307,589,1
27,2.2374,183.64,1289,595,1
28,2.303,179.37,1265,603,1
29,2.3709,174.13,1235,611,1
30,2.4356,167.8,1200,625,1
31,2.5014,163.27,1175,635,1
32,2.5704,159.17,1152,643,1
33,2.6702,152.62,1116,658,1
34,2.7715,145.87,1079,674,1
35,2.8765,142.76,1061,678,1
36,2.9731,139.4,1042,684,1
37,3.075,139.45,1042,683,1
38,3.1703,142.75,1060,675,1
39,3.2669,150.14,1100,656,1
40,3.3376,156.05,1133,644,1
41,3.405,164.62,1180,624,1
42,3.4702,172.41,1224,610,1
43,3.5361,179.66,1265,597,1
44,3.6378,185.98,1302,590,1
45,3.7377,191.65,1335,583,1
46,3.8367,198.48,1374,572,1
47,3.9083,203.57,1404,567,1
48,4.0024,210.86,1447,560,1
49,4.0819,213.7,1464,558,1
50,4.1476,216.12,1479,558,1
51,4.2436,219.1,1495,550,1
52,4.3403,218.45,1491,550,1
53,4.4114,215.69,1476,557,1
54,4.5085,211.72,1452,559,1
55,4.6063,204.82,1412,568,1
56,4.6739,198.89,1378,577,1
57,4.7722,185.99,1306,603,1
58,4.8709,172.98,1233,628,1
59,4.979,159.68,1160,659,1
60,5.0772,146.89,1092,696,1
61,5.1752,141.2,1061,710,1
62,5.2456,139.6,1052,713,1
63,5.3425,143.16,1071,703,1
64,5.409,148.36,1099,689,1
65,5.509,164.67,1187,646,1
66,5.5747,177.13,1256,619,1
67,5.6724,198.13,1373,576,1
68,5.771,218.88,1490,538,1
69,5.8363,229.35,1550,522,1
70,5.9152,237.91,1600,512,1
71,5.983,241.95,1625,512,1
72,6.0807,244.58,1641,511,1
73,6.181,245.89,1650,514,1
74,6.2763,248.03,1663,513,1
75,6.3753,253.83,1698,510,1
76,6.4725,263.99,1760,507,1
77,6.5392,274.72,1824,499,1
78,6.6044,260.49,1735,496,1
79,6.6725,260.49,1735,496,1
80,6.7737,260.65,1736,496,1
81,6.8383,260.49,1735,496,1
82,6.9062,272.68,1812,501,1
83,6.9718,259.36,1731,506,1
84,7.0412,243.34,1633,510,1
85,7.1384,244.09,1631,488,1
86,7.2073,260.49,1735,496,1
87,7.2726,260.65,1736,496,1
88,7.3386,260.49,1735,496,1
89,7.4024,260.49,1735,496,1
90,7.4754,260.49,1735,496,1
91,7.5404,260.33,1734,496,1
92,7.6045,260.49,1735,496,1
93,7.6741,260.54,1735,495,1
94,7.7732,260.54,1735,495,1
95,7.875,260.33,1734,496,1
96,7.9771,260.65,1736,496,1
97,8.0771,260.65,1736,496,1
98,8.178,260.65,1736,496,1
99,8.2733,260.7,1736,495,1
100,8.3774,260.7,1736,495,1
101,8.4751,260.49,1735,496,1
102,8.5739,260.65,1736,496,1
103,8.6816,260.54,1735,495,1
104,8.7787,260.65,1736,496,1
105,8.8746,260.33,1734,496,1
106,8.9728,260.54,1735,495,1
107,9.04,260.49,1735,496,1
108,9.1079,260.54,1735,495,1
109,9.2067,260.49,1735,496,1
110,9.3097,260.49,1735,496,1
111,9.4082,260.49,1735,496,1
112,9.5086,260.49,1735,496,1
113,9.6051,260.49,1735,496,1
114,9.678,260.49,1735,496,1
115,9.744,260.33,1734,496,1
116,9.8129,260.01,1732,496,1
117,9.9119,260.17,1733,496,1
