frame,time_s,position_mm,raw_x,raw_y,tags_tracked,tag_ids
0,0.186,37.37,601,659,1,0
1,0.2872,37.9,602,639,1,0
2,0.4171,38.68,604,614,1,0
3,0.547,38.62,602,599,1,0
4,0.6755,37.2,593,594,1,0
5,0.775,33.77,573,598,1,0
6,0.8748,29.21,547,609,1,0
7,0.977,23.09,512,623,1,0
8,1.0748,15.96,471,637,1,0
9,1.1776,9.48,433,643,1,0
10,1.2767,4.08,401,645,1,0
11,1.3783,0.39,379,645,1,0
12,1.4956,-1.92,365,643,1,0
13,1.6282,-3.97,353,645,1,0
14,1.7268,-2.98,359,646,1,0
15,1.8469,2.72,393,646,1,0
21,2.4466,68.1,778,601,1,0
22,2.5423,76.17,826,600,1,0
23,2.6439,82.67,865,602,1,0
24,2.7445,87.75,896,609,1,0
25,2.8455,92.43,925,619,1,0
26,2.9731,98.03,959,625,1,0
27,3.0734,103.21,990,626,1,0
28,3.1715,109.83,1030,631,1,0
29,3.2739,116.9,1073,639,1,0
30,3.3761,123.03,1110,643,1,0
31,3.485,128.11,1140,640,1,0
32,3.612,135.67,1184,630,1,0
33,3.7102,142.79,1226,626,1,0
34,3.814,150.3,1271,628,1,0
35,3.9514,158.89,1324,645,1,0
36,4.0808,165.34,1364,659,1,0
37,4.2117,169.04,1387,668,1,0
38,4.3461,170.94,1398,665,1,0
39,4.4406,171.65,1402,663,1,0
40,4.5382,171.66,1402,662,1,0
41,4.642,170.36,1394,660,1,0
42,4.7433,167.76,1378,655,1,0
43,4.8785,162.62,1347,652,1,0
44,5.0111,155.79,1306,649,1,0
45,5.1078,149.7,1269,643,1,0
46,5.2075,143.45,1231,636,1,0
47,5.3132,137.6,1196,635,1,0
48,5.4146,132.01,1163,638,1,0
49,5.5436,123.66,1113,636,1,0
50,5.6449,117.32,1075,634,1,0
51,5.7464,111.75,1042,636,1,0
52,5.844,107.07,1014,635,1,0
53,5.9433,102.43,986,632,1,0
54,6.0437,97.1,954,630,1,0
55,6.1457,91.53,921,632,1,0
56,6.2485,86.12,889,634,1,0
57,6.3435,81.08,859,635,1,0
58,6.4434,75.41,825,633,1,0
59,6.5491,69.22,788,632,1,0
60,6.6823,61.17,740,632,1,0
61,6.7843,55.15,704,631,1,0
62,6.8788,49.13,668,630,1,0
63,6.9817,43.78,636,629,1,0
64,7.0758,38.77,606,628,1,0
65,7.179,34.11,578,626,1,0
66,7.289,29.78,552,624,1,0
67,7.3865,25.42,526,624,1,0
68,7.4829,21.41,502,623,1,0
69,7.5836,18.41,484,622,1,0
70,7.681,17.07,476,622,1,0
71,7.7891,17.91,481,622,1,0
72,7.919,19.96,493,620,1,0
73,8.0478,21.8,504,620,1,0
74,8.1812,26.24,530,616,1,0
75,8.2834,34.26,577,608,1,0
78,8.6468,71.99,798,571,1,0
79,8.7433,81.33,854,574,1,0
80,8.8426,90.54,910,584,1,0
81,8.9471,99.2,963,597,1,0
82,9.0408,107.11,1011,605,1,0
83,9.1427,114.88,1058,611,1,0
84,9.243,121.71,1100,623,1,0
85,9.3413,126.92,1132,632,1,0
86,9.4427,132.53,1166,637,1,0
87,9.5449,139.55,1207,629,1,0
