frame,time_s,raw_x,raw_y,mm_per_pixel,tags_tracked,tag_ids,pose_x,pose_y,pose_z,pose_err
1,0.3022,1199.34,749.26,0.470596,1,5,111.404,97.404,674.92,0.0
2,0.4386,1219.23,749.57,0.471551,1,5,120.655,97.573,674.819,0.0
3,0.5612,1253.13,750.25,0.470095,1,5,136.047,97.562,672.896,0.0
4,0.6921,1280.08,750.77,0.470757,1,5,150.933,99.357,683.6,0.0
5,0.7919,1300.43,751.03,0.470951,1,5,159.077,98.691,677.695,0.0
6,0.8912,1320.75,751.69,0.47062,1,5,169.833,99.65,682.581,0.0
7,0.9895,1340.97,752.12,0.470343,1,5,179.15,99.686,681.926,0.0
8,1.0928,1361.08,752.33,0.471069,1,5,188.455,99.81,681.353,0.0
9,1.1924,1380.97,752.68,0.470419,1,5,200.018,101.054,688.95,0.0
10,1.2931,1399.62,752.95,0.469894,1,5,209.654,101.607,691.538,0.0
11,1.3904,1416.72,753.38,0.471093,1,5,216.027,100.929,685.917,0.0
12,1.4978,1421.98,753.54,0.4708,1,5,219.031,101.232,687.483,0.0
13,1.5913,1446.05,753.96,0.46994,1,5,230.146,101.317,686.625,0.0
14,1.6938,1458.53,754.22,0.470061,1,5,236.002,101.37,686.608,0.0
15,1.7915,1469.5,754.16,0.47014,1,5,242.324,101.89,689.628,0.0
16,1.8912,1478.96,754.55,0.470913,1,5,246.8,101.972,689.569,0.0
17,2.0114,1484.3,754.4,0.471349,1,5,249.579,102.095,690.242,0.0
18,2.1265,1494.99,754.66,0.470978,1,5,254.402,102.087,689.5,0.0
19,2.2244,1499.47,754.77,0.470859,1,5,256.51,102.14,689.448,0.0
20,2.3247,1502.43,754.84,0.470612,1,5,257.627,102.03,688.692,0.0
21,2.4254,1504.04,754.72,0.470454,1,5,258.982,102.259,690.225,0.0
22,2.5376,1504.14,754.78,0.470766,1,5,258.67,102.125,689.284,0.0
23,2.6602,1500.65,754.7,0.470743,1,5,257.05,102.109,689.383,0.0
24,2.7953,1495.02,754.66,0.471435,1,5,255.103,102.363,691.333,0.0
25,2.8908,1489.02,754.57,0.470947,1,5,251.91,102.179,690.43,0.0
26,3.0634,1481.59,754.49,0.471035,1,5,248.328,102.104,690.31,0.0
27,3.1943,1462.11,754.15,0.4705,1,5,238.211,101.625,687.946,0.0
28,3.3282,1445.72,753.85,0.469639,1,5,230.152,101.396,687.313,0.0
29,3.4244,1431.6,753.63,0.470556,1,5,223.369,101.181,686.831,0.0
30,3.6005,1416.08,753.48,0.470068,1,5,216.955,101.499,689.966,0.0
31,3.7003,1386.75,752.85,0.469362,1,5,203.055,101.307,690.006,0.0
32,3.8294,1360.34,752.52,0.470328,1,5,188.977,100.32,684.462,0.0
33,3.9622,1333.4,751.89,0.469993,1,5,176.762,100.293,686.286,0.0
34,4.1136,1313.29,751.35,0.470911,1,5,166.081,99.444,681.794,0.0
35,4.2255,1279.34,750.69,0.470558,1,5,150.522,99.306,683.445,0.0
36,4.3257,1259.26,750.31,0.471182,1,5,140.893,99.018,682.692,0.0
37,4.4264,1238.72,749.8,0.470464,1,5,128.944,97.073,670.697,0.0
38,4.5276,1218.46,749.48,0.471044,1,5,119.341,96.739,669.56,0.0
39,4.6344,1205.14,749.43,0.471512,1,5,114.162,97.527,675.613,0.0
41,4.8588,1151.08,748.29,0.470486,1,5,88.456,96.433,670.953,0.0
42,4.9593,1130.63,747.87,0.471322,1,5,78.214,95.204,663.879,0.0
43,5.0609,1110.56,747.6,0.471339,1,5,69.525,95.659,668.744,0.0
44,5.1589,1090.58,747.19,0.471151,1,5,60.054,95.125,666.216,0.0
45,5.2603,1071.51,746.77,0.471163,1,5,52.237,96.821,678.966,0.0
46,5.3602,1053.9,746.54,0.470812,1,5,43.651,95.957,673.725,0.0
47,5.4602,1037.92,746.18,0.470175,1,5,36.573,96.747,680.37,0.0
48,5.5966,1018.76,745.78,0.470102,1,5,27.741,97.039,683.724,0.0
49,5.706,1014.39,745.7,0.470587,1,5,25.722,97.121,684.478,0.0
50,5.8326,991.67,745.18,0.470711,1,5,14.923,96.66,682.78,0.0
51,5.9653,979.94,745.1,0.470191,1,5,9.432,96.753,684.361,0.0
52,6.0967,970.66,744.88,0.470379,1,5,5.045,96.922,685.937,0.0
53,6.2083,967.07,744.84,0.470127,1,5,3.345,96.628,684.003,0.0
54,6.3275,960.95,744.69,0.471012,1,5,0.455,96.999,687.138,0.0
55,6.4639,959.02,744.72,0.470498,1,5,-0.45,96.688,684.868,0.0
56,6.5987,960.45,744.72,0.470917,1,5,0.215,96.969,686.812,0.0
57,6.7373,963.31,744.8,0.470551,1,5,1.575,96.718,684.793,0.0
58,6.8629,971.54,744.96,0.470626,1,5,5.487,96.951,686.22,0.0
59,6.9983,981.07,745.12,0.469819,1,5,10.006,96.962,685.513,0.0
60,7.1304,993.29,745.31,0.470875,1,5,15.731,96.981,684.905,0.0
61,7.259,1000.36,745.37,0.470667,1,5,19.035,96.809,683.081,0.0
62,7.3609,1021.13,745.87,0.470179,1,5,28.815,96.93,682.607,0.0
63,7.4592,1035.66,746.2,0.470059,1,5,35.334,96.102,676.149,0.0
64,7.5598,1051.33,746.39,0.471715,1,5,42.986,97.02,681.559,0.0
65,7.6593,1068.55,746.9,0.471349,1,5,50.151,95.423,669.095,0.0
66,7.7949,1081.05,746.91,0.471216,1,5,55.798,95.332,667.574,0.0
67,7.9298,1121.11,747.74,0.470706,1,5,74.392,95.874,668.578,0.0
70,8.3046,1188.58,749.01,0.469719,1,5,105.872,96.849,671.447,0.0
71,8.4255,1222.23,749.65,0.471168,1,5,122.978,98.311,679.93,0.0
72,8.527,1242.46,750.03,0.470273,1,5,132.773,98.694,681.365,0.0
73,8.6256,1262.88,750.5,0.471053,1,5,140.761,97.829,673.938,0.0
74,8.7247,1283.06,750.84,0.470377,1,5,151.813,98.997,681.154,0.0
75,8.8262,1289.78,750.94,0.469646,1,5,155.307,99.297,682.645,0.0
76,8.9259,1323.63,751.77,0.469743,1,5,171.62,99.939,684.125,0.0
77,9.0254,1343.94,752.22,0.471099,1,5,181.037,100.003,683.718,0.0
78,9.1262,1363.98,752.37,0.470651,1,5,190.188,100.0,682.608,0.0
79,9.2243,1383.92,752.65,0.47015,1,5,201.341,101.077,688.761,0.0
80,9.3582,1396.26,753.15,0.469969,1,5,206.062,100.659,684.958,0.0
81,9.4599,1424.38,753.57,0.470414,1,5,220.332,101.315,688.007,0.0
82,9.5585,1438.99,753.83,0.470313,1,5,227.524,101.546,688.955,0.0
83,9.6602,1452.29,754.07,0.470025,1,5,233.601,101.567,688.035,0.0
84,9.7577,1464.07,754.11,0.469947,1,5,238.939,101.514,687.359,0.0
85,9.9157,1471.06,754.32,0.470645,1,5,242.821,101.832,689.122,0.0
86,10.0256,1487.87,754.53,0.471449,1,5,251.076,102.057,689.696,0.0
87,10.1271,1494.12,754.56,0.470835,1,5,254.668,102.376,691.373,0.0
88,10.2242,1498.81,754.75,0.470734,1,5,256.017,102.066,688.97,0.0
89,10.3253,1502.13,754.68,0.471211,1,5,258.377,102.375,691.068,0.0
90,10.4256,1503.8,754.77,0.47024,1,5,258.055,101.935,688.08,0.0
91,10.5262,1504.16,754.71,0.471044,1,5,259.073,102.274,690.348,0.0
92,10.6254,1502.21,754.69,0.470889,1,5,257.901,102.158,689.689,0.0
93,10.7253,1499.02,754.67,0.470494,1,5,256.581,102.24,690.211,0.0
94,10.8265,1494.25,754.67,0.470536,1,5,253.852,102.044,688.991,0.0
95,10.9242,1492.3,754.66,0.470502,1,5,252.563,101.879,688.004,0.0
96,11.0256,1480.37,754.48,0.470678,1,5,247.333,101.923,689.176,0.0
97,11.124,1471.32,754.33,0.470656,1,5,243.694,102.127,691.034,0.0
98,11.224,1460.54,754.15,0.470106,1,5,236.942,101.363,686.425,0.0
99,11.3257,1448.15,754.0,0.469872,1,5,231.546,101.497,687.775,0.0
100,11.4489,1439.03,753.89,0.470346,1,5,227.237,101.439,687.833,0.0
101,11.5598,1413.64,753.33,0.469971,1,5,213.976,100.629,684.042,0.0
102,11.6588,1396.24,753.05,0.469731,1,5,206.455,100.824,686.327,0.0
103,11.7603,1377.46,752.8,0.469987,1,5,197.67,100.755,686.729,0.0
104,11.8586,1357.27,752.46,0.470808,1,5,187.485,100.257,684.302,0.0
105,11.9704,1343.88,752.03,0.470116,1,5,182.083,100.593,687.86,0.0
106,12.0927,1310.2,751.47,0.470938,1,5,165.419,99.891,684.93,0.0
107,12.1935,1289.88,750.87,0.469838,1,5,154.923,99.059,680.822,0.0
108,12.2925,1269.76,750.46,0.471648,1,5,144.935,98.567,678.598,0.0
109,12.3936,1249.35,750.08,0.470415,1,5,134.577,97.733,674.281,0.0
110,12.4973,1235.81,749.99,0.470645,1,5,128.726,97.961,676.499,0.0
111,12.6288,1202.21,749.29,0.471378,1,5,111.652,96.558,668.535,0.0
115,13.1252,1100.98,747.35,0.471359,1,5,65.561,96.351,673.796,0.0
116,13.2262,1081.08,746.99,0.470753,1,5,56.704,96.787,678.003,0.0
117,13.3259,1062.82,746.64,0.471014,1,5,47.677,95.801,671.89,0.0
118,13.4257,1046.1,746.38,0.471066,1,5,40.542,97.066,681.94,0.0
119,13.5481,1035.69,746.11,0.469723,1,5,35.659,96.977,682.042,0.0
120,13.6586,1012.62,745.66,0.470843,1,5,24.804,96.913,683.253,0.0
121,13.7598,1000.62,745.42,0.471054,1,5,19.229,97.111,685.477,0.0
122,13.8593,990.34,745.27,0.470975,1,5,14.331,96.982,685.07,0.0
123,13.9589,981.42,745.13,0.470168,1,5,10.102,96.69,683.497,0.0
124,14.084,976.3,745.08,0.470272,1,5,7.763,97.018,686.137,0.0
125,14.1946,966.38,744.86,0.46988,1,5,3.059,97.101,687.336,0.0
126,14.3304,961.5,744.79,0.47025,1,5,0.714,96.951,686.458,0.0
127,14.4598,959.22,744.73,0.470581,1,5,-0.369,97.184,688.292,0.0
128,14.6017,959.03,744.72,0.470427,1,5,-0.444,96.609,684.276,0.0
129,14.7286,963.87,744.9,0.470222,1,5,1.871,97.037,687.001,0.0
130,14.8619,970.44,744.91,0.470389,1,5,4.948,97.027,686.593,0.0
131,14.9965,979.55,745.06,0.469678,1,5,9.275,96.898,685.181,0.0
132,15.1193,985.21,745.19,0.470339,1,5,11.94,96.921,685.029,0.0
133,15.2279,1002.05,745.51,0.4713,1,5,19.844,96.848,683.442,0.0
134,15.3282,1014.23,745.78,0.47074,1,5,25.524,96.821,682.197,0.0
135,15.4616,1032.77,746.23,0.470029,1,5,33.996,96.201,676.342,0.0
136,15.5598,1048.44,746.42,0.470601,1,5,41.602,97.093,682.001,0.0
138,15.7601,1083.9,746.89,0.470773,1,5,57.234,95.549,669.052,0.0
139,15.8604,1103.88,747.47,0.470536,1,5,67.032,96.612,675.22,0.0
140,15.9618,1123.96,747.77,0.471104,1,5,75.238,95.294,664.366,0.0
143,16.3039,1191.59,749.03,0.46973,1,5,107.107,96.67,670.465,0.0
144,16.437,1218.45,749.61,0.470872,1,5,121.171,98.277,679.817,0.0
145,16.57,1245.43,749.93,0.470694,1,5,132.143,97.198,671.224,0.0
146,16.6918,1259.16,750.3,0.471043,1,5,139.554,98.151,676.481,0.0
147,16.8023,1292.7,751.09,0.46981,1,5,155.903,98.865,679.313,0.0
148,16.9005,1313.06,751.52,0.471447,1,5,165.763,99.324,680.651,0.0
149,17.0025,1333.42,751.96,0.470323,1,5,176.58,100.231,685.658,0.0
150,17.1026,1353.52,752.39,0.470275,1,5,185.018,99.831,681.75,0.0
151,17.2132,1366.99,752.53,0.470329,1,5,191.151,99.848,681.036,0.0
152,17.3335,1399.03,753.21,0.469636,1,5,208.172,101.037,687.667,0.0
153,17.4678,1421.31,753.42,0.471025,1,5,219.154,101.404,688.871,0.0
154,17.5626,1436.4,753.71,0.470133,1,5,225.648,101.244,686.857,0.0
155,17.6717,1449.84,753.98,0.469765,1,5,232.799,101.706,689.095,0.0
156,17.7674,1461.79,754.17,0.469989,1,5,237.763,101.485,687.082,0.0
157,17.8683,1472.41,754.39,0.470907,1,5,243.713,101.939,689.642,0.0
158,17.9682,1481.34,754.58,0.471335,1,5,248.314,102.181,690.612,0.0
159,18.0677,1488.82,754.61,0.471145,1,5,251.408,102.042,689.372,0.0
160,18.1692,1494.9,754.66,0.470814,1,5,254.691,102.257,690.418,0.0
161,18.2851,1498.02,754.67,0.470437,1,5,255.441,102.011,688.639,0.0
