frame,time_s,raw_x,raw_y,mm_per_pixel,tracking_source,tracking_confidence,tags_tracked,tag_ids,tag_sources,pose_x,pose_y,pose_z,pose_err,video_frame
7,0.6208,509.61,1254.4,0.221789,apriltag,1.0,1,5,5:apriltag,-6.469,62.716,308.916,0.0,149
8,0.625,508.22,1260.01,0.224334,apriltag,1.0,1,5,5:apriltag,-7.145,67.286,325.099,0.0,150
9,0.6292,507.56,1261.58,0.221929,apriltag,1.0,1,5,5:apriltag,-7.237,67.127,322.638,0.0,151
10,0.6333,508.43,1262.25,0.223088,apriltag,1.0,1,5,5:apriltag,-7.035,67.333,323.016,0.0,152
11,0.6375,510.11,1261.31,0.223286,apriltag,1.0,1,5,5:apriltag,-6.565,66.186,318.505,0.0,153
12,0.6417,510.43,1257.52,0.22534,apriltag,1.0,1,5,5:apriltag,-6.415,64.546,314.674,0.0,154
13,0.6458,509.8,1251.58,0.222227,apriltag,1.0,1,5,5:apriltag,-6.506,62.471,310.633,0.0,155
14,0.65,508.5,1244.23,0.226338,apriltag,1.0,1,5,5:apriltag,-6.605,59.996,306.103,0.0,156
15,0.6542,507.5,1234.0,0.226338,opencv,0.967,1,5,5:opencv,-7.356,62.017,,,157
16,0.6583,507.5,1221.0,0.226338,opencv,0.933,1,5,5:opencv,-7.356,59.074,,,158
17,0.6625,508.5,1206.0,0.226338,opencv,0.9,1,5,5:opencv,-7.13,55.679,,,159
18,0.6667,509.5,1192.0,0.226338,opencv,0.867,1,5,5:opencv,-6.903,52.51,,,160
19,0.6708,510.5,1177.0,0.226338,opencv,0.833,1,5,5:opencv,-6.677,49.115,,,161
20,0.675,510.5,1163.0,0.226338,opencv,0.8,1,5,5:opencv,-6.677,45.947,,,162
21,0.6792,510.5,1149.0,0.226338,opencv,0.767,1,5,5:opencv,-6.677,42.778,,,163
22,0.6833,510.5,1135.0,0.226338,opencv,0.733,1,5,5:opencv,-6.677,39.609,,,164
23,0.6875,510.5,1120.0,0.226338,opencv,0.7,1,5,5:opencv,-6.677,36.214,,,165
24,0.6917,511.5,1105.0,0.226338,opencv,0.667,1,5,5:opencv,-6.451,32.819,,,166
25,0.6958,512.5,1090.0,0.226338,opencv,0.633,1,5,5:opencv,-6.224,29.424,,,167
26,0.7,513.5,1076.0,0.226338,opencv,0.6,1,5,5:opencv,-5.998,26.255,,,168
27,0.7042,513.5,1062.0,0.226338,opencv,0.567,1,5,5:opencv,-5.998,23.087,,,169
28,0.7083,514.3,1049.43,0.22815,apriltag,1.0,1,5,5:apriltag,-5.533,19.234,311.416,0.0,170
29,0.7125,514.29,1042.54,0.227374,apriltag,1.0,1,5,5:apriltag,-5.744,18.387,323.208,0.0,171
30,0.7167,515.54,1039.57,0.22453,apriltag,1.0,1,5,5:apriltag,-5.524,17.919,325.952,0.0,172
31,0.7208,515.7,1038.47,0.225048,apriltag,1.0,1,5,5:apriltag,-5.403,17.488,322.396,0.0,173
32,0.725,514.37,1038.8,0.227351,apriltag,1.0,1,5,5:apriltag,-5.786,17.789,327.166,0.0,174
33,0.7292,513.37,1040.44,0.225987,apriltag,1.0,1,5,5:apriltag,-6.007,18.119,326.234,0.0,175
34,0.7333,512.83,1044.51,0.227925,apriltag,1.0,1,5,5:apriltag,-5.974,18.589,318.855,0.0,176
35,0.7375,514.16,1050.68,0.227311,apriltag,1.0,1,5,5:apriltag,-5.476,19.424,310.14,0.0,177
36,0.7417,515.76,1059.76,0.225632,apriltag,1.0,1,5,5:apriltag,-5.275,21.611,313.538,0.0,178
