Designator,Mid X,Mid Y,Rotation,Layer
C1,93.8,-62.9,270.0,top
C11,79.8,-125.75,180.0,top
C12,71.75,-115.9875,180.0,bottom
C15,73.325,-57.7,180.0,top
C16,91.72,-121.35,0.0,top
C17,70.411359,-116.73,180.0,top
C18,68.411359,-116.73,0.0,top
C2,87.0,-55.025,90.0,top
C3,82.7,-71.72,90.0,top
C4,77.3,-71.8,90.0,top
C5,86.5,-70.25,180.0,top
C6,91.57,-69.55,0.0,top
C7,86.5,-71.75,180.0,top
C8,73.52,-94.25,180.0,top
C9,73.72,-95.65,180.0,top
D1,86.2,-65.1,270.0,top
D2,89.9,-54.1,90.0,top
D3,75.0,-117.0,0.0,top
D4,74.4125,-62.0,0.0,top
D5,91.7,-117.1,90.0,top
J1,88.795,-100.5,90.0,top
J2,72.0,-144.295,0.0,top
J3,86.565,-116.3,90.0,bottom
J5,80.0,-54.0,180.0,top
L1,90.7,-66.4,270.0,top
Q1,89.0625,-137.0,180.0,top
Q2,85.0,-137.0,180.0,top
R10,82.275,-114.775,180.0,top
R11,73.5,-98.225,0.0,top
R12,74.4,-65.4,0.0,top
R13,83.1,-117.15,90.0,top
R14,74.4,-63.4,0.0,top
R18,73.875,-59.5,270.0,top
R2,91.6,-70.6,0.0,top
R22,68.911359,-118.48,90.0,top
R23,72.9,-121.3,90.0,top
R3,93.5,-70.6,0.0,top
R5,67.911359,-118.48,90.0,top
R6,77.65,-106.14,270.0,top
R7,76.3,-106.15,270.0,top
R8,74.575,-112.725,90.0,top
R9,69.185,-109.8,0.0,top
SW1,73.4,-101.6,90.0,top
SW2,73.6,-69.8,90.0,top
U1,91.0,-61.55,0.0,top
U2,80.0375,-71.25,0.0,top
U3,69.256359,-114.07,270.0,top
U4,88.25,-131.05,180.0,top
U5,72.25,-55.26,90.0,top
U7,78.16,-83.75,90.0,top
